note. Not used in the code - just a place to review available widgets. ,,,,,,,,
widget,autoui_default,library,widget_type,value_type,json_type,required_kwargs,json_format,widget_class_string
IntSlider,TRUE,ipywidgets,numeric,int,integer,"['min','max']",None,<class 'ipywidgets.widgets.widget_int.IntSlider'>
IntText,TRUE,ipywidgets,numeric,int,integer,,None,<class 'ipywidgets.widgets.widget_int.IntText'>
IntRangeSlider,TRUE,ipywidgets,numeric,tuple,array,"['min','max']",None,<class 'ipywidgets.widgets.widget_int.IntRangeSlider'>
IntProgress,,ipywidgets,numeric,int,integer,,None,<class 'ipywidgets.widgets.widget_int.IntProgress'>
BoundedIntText,,ipywidgets,numeric,int,integer,"['min','max']",None,<class 'ipywidgets.widgets.widget_int.BoundedIntText'>
FloatSlider,TRUE,ipywidgets,numeric,float,number,"['min','max']",None,<class 'ipywidgets.widgets.widget_float.FloatSlider'>
FloatText,TRUE,ipywidgets,numeric,float,number,,None,<class 'ipywidgets.widgets.widget_float.FloatText'>
FloatRangeSlider,TRUE,ipywidgets,numeric,tuple,array,"['min','max']",None,<class 'ipywidgets.widgets.widget_float.FloatRangeSlider'>
FloatLogSlider,,ipywidgets,numeric,tuple,array,,None,<class 'ipywidgets.widgets.widget_float.FloatLogSlider'>
FloatProgress,,ipywidgets,numeric,float,number,,None,<class 'ipywidgets.widgets.widget_float.FloatProgress'>
BoundedFloatText,,ipywidgets,numeric,float,number,"['min','max']",None,<class 'ipywidgets.widgets.widget_float.BoundedFloatText'>
ToggleButton,,ipywidgets,boolean,bool,boolean,,None,<class 'ipywidgets.widgets.widget_bool.ToggleButton'>
Checkbox,TRUE,ipywidgets,boolean,bool,boolean,,None,<class 'ipywidgets.widgets.widget_bool.Checkbox'>
Valid,,ipywidgets,boolean,bool,boolean,,None,<class 'ipywidgets.widgets.widget_bool.Valid'>
Dropdown,TRUE,ipywidgets,selection,Any,None,['options'],None,<class 'ipywidgets.widgets.widget_selection.Dropdown'>
RadioButtons,,ipywidgets,selection,Any,,,,<class 'ipywidgets.widgets.widget_selection.RadioButtons'>
Select,,ipywidgets,selection,Any,,,,<class 'ipywidgets.widgets.widget_selection.Select'>
SelectionSlider,,ipywidgets,selection,Any,,,,<class 'ipywidgets.widgets.widget_selection.SelectionSlider'>
SelectionRangeSlider,TRUE,ipywidgets,selection,tuple,,['options'],,<class 'ipywidgets.widgets.widget_selection.SelectionRangeSlider'>
ToggleButtons,,ipywidgets,selection,Any,,,,<class 'ipywidgets.widgets.widget_selection.ToggleButtons'>
SelectMultiple,TRUE,ipywidgets,selection,list,array,['options'],None,<class 'ipywidgets.widgets.widget_selection.SelectMultiple'>
Text,TRUE,ipywidgets,string,str,string,,None,<class 'ipywidgets.widgets.widget_string.Text'>
Textarea,TRUE,ipywidgets,string,str,string,,None,<class 'ipywidgets.widgets.widget_string.Textarea'>
Combobox,TRUE,ipywidgets,string,Any,string,['options'],None,<class 'ipywidgets.widgets.widget_string.Combobox'>
Label,,ipywidgets,string,str,,,,<class 'ipywidgets.widgets.widget_string.Label'>
HTML,,ipywidgets,string,str,,,,<class 'ipywidgets.widgets.widget_string.HTML'>
HTMLMath,,ipywidgets,string,str,,,,<class 'ipywidgets.widgets.widget_string.HTMLMath'>
Image,,ipywidgets,other,str,,,,<class 'ipywidgets.widgets.widget_media.Image'>
Button,,ipywidgets,other,None,,,,<class 'ipywidgets.widgets.widget_button.Button'>
Output,,ipywidgets,other,None,,,,<class 'ipywidgets.widgets.widget_output.Output'>
DatePicker,TRUE,ipywidgets,pickers,datetime.date,string,,date,<class 'ipywidgets.widgets.widget_date.DatePicker'>
ColorPicker,,ipywidgets,pickers,str,,,,<class 'ipywidgets.widgets.widget_color.ColorPicker'>
TagsInput,,ipywidgets,tags,list,,,,
ColorsInput,,ipywidgets,tags,list,,,,
FloatsInput,,ipywidgets,tags,list,,,,
IntsInput,,ipywidgets,tags,list,,,,
FileUpload,TRUE,ipywidgets,pickers,None,,,,<class 'ipyautoui._custom_widgets.AutoUiFileUpload'>
FileChooser,TRUE,ipyfilechooser,pickers,pathlib.Path,string,,Path,<class 'ipyautoui._custom_widgets.AutoUiFileChooser'>
DataGrid,TRUE,ipydatagrid,grid,pd.DataFrame,string,,DataFrame,<class 'ipyautoui._custom_widgets.AutoUiDataGrid'>
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,, ,,
