widget,autoui_default,library,widget_type,value_type,json_type,required_kwargs,json_format,options_in_kwargs,minmax_in_kwargs,tuple_vals_are_int,string_len_is_long,ensure_option_in_kwargs,widget_class_string
IntSlider,TRUE,ipywidgets,numeric,int,integer,"['min','max']",None,FALSE,TRUE,,,,<class 'ipywidgets.widgets.widget_int.IntSlider'>
IntText,TRUE,ipywidgets,numeric,int,integer,,None,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_int.IntText'>
IntRangeSlider,TRUE,ipywidgets,numeric,tuple,array,"['min','max']",None,FALSE,TRUE,TRUE,,,<class 'ipywidgets.widgets.widget_int.IntRangeSlider'>
IntProgress,,ipywidgets,numeric,int,integer,,None,FALSE,TRUE,,,,<class 'ipywidgets.widgets.widget_int.IntProgress'>
BoundedIntText,,ipywidgets,numeric,int,integer,"['min','max']",None,FALSE,TRUE,,,,<class 'ipywidgets.widgets.widget_int.BoundedIntText'>
FloatSlider,TRUE,ipywidgets,numeric,float,number,"['min','max']",None,FALSE,TRUE,,,,<class 'ipywidgets.widgets.widget_float.FloatSlider'>
FloatText,TRUE,ipywidgets,numeric,float,number,,None,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_float.FloatText'>
FloatRangeSlider,TRUE,ipywidgets,numeric,tuple,array,"['min','max']",None,FALSE,TRUE,FALSE,,,<class 'ipywidgets.widgets.widget_float.FloatRangeSlider'>
FloatLogSlider,,ipywidgets,numeric,tuple,array,,None,FALSE,TRUE,,,,<class 'ipywidgets.widgets.widget_float.FloatLogSlider'>
FloatProgress,,ipywidgets,numeric,float,number,,None,FALSE,TRUE,,,,<class 'ipywidgets.widgets.widget_float.FloatProgress'>
BoundedFloatText,,ipywidgets,numeric,float,number,"['min','max']",None,FALSE,TRUE,,,,<class 'ipywidgets.widgets.widget_float.BoundedFloatText'>
ToggleButton,,ipywidgets,boolean,bool,boolean,,None,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_bool.ToggleButton'>
Checkbox,TRUE,ipywidgets,boolean,bool,boolean,,None,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_bool.Checkbox'>
Valid,,ipywidgets,boolean,bool,boolean,,None,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_bool.Valid'>
Dropdown,TRUE,ipywidgets,selection,Any,None,['options'],None,TRUE,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.Dropdown'>
RadioButtons,,ipywidgets,selection,Any,,,,TRUE,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.RadioButtons'>
Select,,ipywidgets,selection,Any,,,,TRUE,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.Select'>
SelectionSlider,,ipywidgets,selection,Any,,,,TRUE,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.SelectionSlider'>
SelectionRangeSlider,TRUE,ipywidgets,selection,tuple,,['options'],,TRUE,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.SelectionRangeSlider'>
ToggleButtons,,ipywidgets,selection,Any,,,,TRUE,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.ToggleButtons'>
SelectMultiple,TRUE,ipywidgets,selection,list,array,['options'],None,TRUE,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.SelectMultiple'>
Text,TRUE,ipywidgets,string,str,string,,None,FALSE,FALSE,,FALSE,,<class 'ipywidgets.widgets.widget_string.Text'>
Textarea,TRUE,ipywidgets,string,str,string,,None,FALSE,FALSE,,TRUE,,<class 'ipywidgets.widgets.widget_string.Textarea'>
Combobox,TRUE,ipywidgets,string,Any,string,['options'],None,TRUE,FALSE,,,TRUE,<class 'ipywidgets.widgets.widget_string.Combobox'>
Label,,ipywidgets,string,str,,,,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_string.Label'>
HTML,,ipywidgets,string,str,,,,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_string.HTML'>
HTMLMath,,ipywidgets,string,str,,,,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_string.HTMLMath'>
Image,,ipywidgets,other,str,,,,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_media.Image'>
Button,,ipywidgets,other,None,,,,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_button.Button'>
Output,,ipywidgets,other,None,,,,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_output.Output'>
DatePicker,TRUE,ipywidgets,pickers,datetime.date,string,,date,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_date.DatePicker'>
ColorPicker,,ipywidgets,pickers,str,,,,FALSE,FALSE,,,,<class 'ipywidgets.widgets.widget_color.ColorPicker'>
TagsInput,,ipywidgets,tags,list,,,,FALSE,FALSE,,,,
ColorsInput,,ipywidgets,tags,list,,,,FALSE,FALSE,,,,
FloatsInput,,ipywidgets,tags,list,,,,FALSE,FALSE,,,,
IntsInput,,ipywidgets,tags,list,,,,FALSE,FALSE,,,,
FileUpload,TRUE,ipywidgets,pickers,None,,,,FALSE,FALSE,,,,<class 'ipyautoui._custom_widgets.AutoUiFileUpload'>
FileChooser,TRUE,ipyfilechooser,pickers,pathlib.Path,string,,Path,FALSE,FALSE,,,,<class 'ipyautoui._custom_widgets.AutoUiFileChooser'>
DataGrid,TRUE,ipydatagrid,grid,pd.DataFrame,string,,DataFrame,FALSE,FALSE,,,,<class 'ipyautoui._custom_widgets.AutoUiDataGrid'>
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,, ,,,,,,,
